algorithm,n,run,time_ms,nodes_explored,path_cost
chebyshev,10,5,0.048209,87,53
chebyshev,10,6,0.046583,87,53
chebyshev,10,7,0.048208,87,53
chebyshev,10,8,0.049417,87,53
chebyshev,10,9,0.043917,87,53
chebyshev,10,10,0.047625,87,53
chebyshev,10,11,0.047166,87,53
chebyshev,10,12,0.046542,87,53
chebyshev,10,13,0.048083,87,53
chebyshev,10,14,0.046875,87,53
chebyshev,10,15,0.046333,87,53
chebyshev,10,16,0.044959,87,53
chebyshev,10,17,0.046125,87,53
chebyshev,10,18,0.051625,87,53
chebyshev,10,19,0.045083,87,53
chebyshev,10,20,0.046167,87,53
manhattan,11,1,0.048458,89,59
manhattan,11,2,0.053083,89,59
manhattan,11,3,0.048417,89,59
manhattan,11,4,0.053,89,59
manhattan,11,5,0.053417,89,59
manhattan,11,6,0.052542,89,59
manhattan,11,7,0.054209,89,59
manhattan,11,8,0.055917,89,59
manhattan,11,9,0.047042,89,59
manhattan,11,10,0.052708,89,59
manhattan,11,11,0.0515,89,59
manhattan,11,12,0.048583,89,59
manhattan,11,13,0.05175,89,59
manhattan,11,14,0.054458,89,59
manhattan,11,15,0.052333,89,59
manhattan,11,16,0.052208,89,59
manhattan,11,17,0.048666,89,59
manhattan,11,18,0.054542,89,59
manhattan,11,19,0.051666,89,59
manhattan,11,20,0.052834,89,59
euclidean,11,1,0.055709,89,59
euclidean,11,2,0.052708,89,59
euclidean,11,3,0.052834,89,59
euclidean,11,4,0.052917,89,59
euclidean,11,5,0.051292,89,59
euclidean,11,6,0.055958,89,59
euclidean,11,7,0.078833,89,59
euclidean,11,8,0.052917,89,59
euclidean,11,9,0.052375,89,59
euclidean,11,10,0.054583,89,59
euclidean,11,11,0.053333,89,59
euclidean,11,12,0.05125,89,59
euclidean,11,13,0.052459,89,59
euclidean,11,14,0.052166,89,59
euclidean,11,15,0.051875,89,59
euclidean,11,16,0.049125,89,59
euclidean,11,17,0.061042,89,59
euclidean,11,18,0.051875,89,59
euclidean,11,19,0.049167,89,59
euclidean,11,20,0.05225,89,59
chebyshev,11,1,0.119458,89,59
chebyshev,11,2,0.048167,89,59
chebyshev,11,3,0.046916,89,59
chebyshev,11,4,0.048458,89,59
chebyshev,11,5,0.050042,89,59
chebyshev,11,6,0.048,89,59
chebyshev,11,7,0.049333,89,59
chebyshev,11,8,0.051958,89,59
chebyshev,11,9,0.046875,89,59
chebyshev,11,10,0.046375,89,59
chebyshev,11,11,0.046,89,59
chebyshev,11,12,0.0475,89,59
chebyshev,11,13,0.045917,89,59
chebyshev,11,14,0.047458,89,59
chebyshev,11,15,0.047459,89,59
chebyshev,11,16,0.045459,89,59
chebyshev,11,17,0.047292,89,59
chebyshev,11,18,0.04575,89,59
chebyshev,11,19,0.046584,89,59
chebyshev,11,20,0.046125,89,59
manhattan,12,1,0.041667,63,47
manhattan,12,2,0.040042,63,47
manhattan,12,3,0.03975,63,47
manhattan,12,4,0.040166,63,47
manhattan,12,5,0.036083,63,47
manhattan,12,6,0.0395,63,47
manhattan,12,7,0.035708,63,47
manhattan,12,8,0.035625,63,47
manhattan,12,9,0.03925,63,47
manhattan,12,10,0.03975,63,47
manhattan,12,11,0.04125,63,47
manhattan,12,12,0.034416,63,47
manhattan,12,13,0.041083,63,47
manhattan,12,14,0.040458,63,47
manhattan,12,15,0.034417,63,47
manhattan,12,16,0.040209,63,47
manhattan,12,17,0.034458,63,47
manhattan,12,18,0.0375,63,47
manhattan,12,19,0.046459,63,47
manhattan,12,20,0.068208,63,47
euclidean,12,1,0.039875,68,47
euclidean,12,2,0.045083,68,47
euclidean,12,3,0.043,68,47
euclidean,12,4,0.042958,68,47
euclidean,12,5,0.04225,68,47
euclidean,12,6,0.040541,68,47
euclidean,12,7,0.0375,68,47
